"id","dam","sire","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair"
"Uts_14_2y_0021",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0022",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0023",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0024",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0025",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0026",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0027",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0028",NA,"Uts_12A_017",NA,4.3,NA,NA,0,NA
"Uts_14_2y_0030",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0031",NA,NA,NA,NA,NA,NA,NA,NA
"Uts_14_2y_0032",NA,"Uts_11A_07",NA,4.1,NA,NA,0,NA
"Uts_14_2y_0033",NA,NA,NA,NA,NA,NA,NA,NA
