ID,Sex,BirthYear
Uts_14A_071,2,2010
Uts_14A_072,2,2008
Uts_14A_073,2,2009
Uts_14A_074,2,2009
Uts_14A_075,2,2010
Uts_14A_076,2,2010
Uts_14A_077,2,2009
Uts_14A_078,2,2009
Uts_14A_079,2,2010
Uts_14A_080,2,2008
Uts_14A_081,2,2009
Uts_14A_082,2,2009
Uts_14A_083,2,2010
Uts_14A_084,2,2010
Uts_14A_085,2,2007
Uts_14A_086,2,2009
Uts_14A_087,2,2009
Uts_14A_088,2,2007
Uts_14A_089,2,2006
Uts_14A_090,2,2009
Uts_14A_091,2,2006
Uts_14A_092,2,2010
Uts_14A_093,2,2009
Uts_14A_094,2,2009
Uts_14A_095,2,2010
Uts_14A_096,2,2008
Uts_14A_097,2,2010
Uts_14A_098,2,2010
Uts_14A_099,2,2010
Uts_14A_100,1,2009
Uts_14A_101,2,2010
Uts_14A_102,2,2008
Uts_14A_103,2,2009
Uts_14A_104,2,2008
Uts_14A_105,2,2010
Uts_14A_106,2,2008
Uts_14A_107,1,2009
Uts_14A_108,1,2008
Uts_14A_109,2,2007
Uts_14A_110,2,2010
Uts_15A_001,2,2010
Uts_15A_002,2,2010
Uts_15A_003,2,2011
Uts_15A_004,2,2011
Uts_15A_005,2,2010
Uts_15A_006,2,2011
Uts_15A_007,2,2010
Uts_15A_008,2,2010
Uts_15A_009,2,2011
Uts_15A_010,1,2009
Uts_15A_011,1,2008
Uts_15A_012,2,2011
Uts_15A_013,2,2010
Uts_15A_014,2,2011
Uts_15A_015,2,2011
Uts_15A_016,2,2010
Uts_15A_017,2,2010
Uts_15A_018,2,2009
Uts_15A_019,2,2010
Uts_15A_020,2,2009
Uts_15A_021,1,2009
Uts_15A_022,2,2011
Uts_15A_023,2,2011
Uts_15A_024,2,2011
Uts_15A_025,2,2009
Uts_15A_026,1,2010
Uts_15A_027,2,2011
Uts_15A_028,2,2010
Uts_15A_029,2,2009
Uts_15A_030,1,2008
Uts_15A_031,2,2011
Uts_15A_032,2,2010
Uts_15A_033,2,2011
Uts_15A_034,2,2009
Uts_15A_035,2,2010
Uts_15A_036,2,2009
Uts_15A_037,2,2010
Uts_15A_038,2,2009
Uts_15A_039,2,2011
Uts_15A_040,1,2009
Uts_15A_041,2,2009
Uts_15A_042,2,2011
Uts_15A_043,2,2011
Uts_15A_044,2,2009
Uts_15A_045,2,2011
Uts_15A_046,2,2010
Uts_15A_047,2,2011
Uts_15A_048,2,2011
Uts_15A_049,2,2011
Uts_15A_050,2,2011
Uts_15A_051,2,2011
Uts_15A_052,2,2011
Uts_15A_053,2,2011
Uts_15A_054,1,2009
Uts_15A_055,1,2009
Uts_15A_056,2,2011
Uts_15A_057,2,2011
Uts_15A_058,2,2011
Uts_15A_059,2,2011
Uts_15A_060,2,2011
Uts_15A_061,2,2011
Uts_15A_062,1,2010
Uts_15A_063,2,2011
Uts_15A_064,2,2010
Uts_15A_065,2,2011
Uts_15A_066,1,2007
Uts_15A_067,1,2008
Uts_15A_068,2,2011
Uts_15A_069,2,2011
Uts_15A_070,2,2009
Uts_15A_071,2,2009
Uts_15A_072,2,2011
Uts_15A_073,2,2011
Uts_15A_074,2,2010
Uts_15A_075,2,2009
Uts_15A_076,2,2010
Uts_15A_077,1,2009
Uts_15A_078,1,2009
Uts_15A_079,2,2011
Uts_15A_080,2,2009
Uts_15A_081,2,2010
Uts_15A_082,2,2011
Uts_16A_001,2,2012
Uts_16A_002,2,2012
Uts_16A_003,2,2012
Uts_16A_004,2,2010
Uts_16A_005,2,2012
Uts_16A_006,2,2012
Uts_16A_007,2,2010
Uts_16A_008,2,2012
Uts_16A_009,2,2012
Uts_16A_010,2,2012
Uts_16A_011,2,2012
Uts_16A_012,2,2011
Uts_16A_013,2,2010
Uts_16A_014,2,2012
Uts_16A_015,2,2011
Uts_16A_016,2,2012
Uts_16A_017,2,2010
Uts_16A_018,2,2012
Uts_16A_019,2,2012
Uts_16A_020,2,2012
Uts_16A_021,2,2012
Uts_16A_022,2,2012
Uts_16A_023,2,2011
Uts_16A_024,2,2011
Uts_16A_025,2,2011
Uts_16A_026,2,2012
Uts_16A_027,2,2012
Uts_16A_028,2,2011
Uts_16A_029,2,2012
Uts_16A_030,2,2011
Uts_16A_031,2,2010
Uts_16A_032,2,2012
Uts_16A_033,2,2012
Uts_16A_034,2,2012
Uts_16A_035,2,2012
Uts_16A_036,1,2011
Uts_16A_037,1,2010
Uts_16A_038,2,2011
Uts_16A_039,2,2011
Uts_16A_040,2,2011
Uts_16A_041,2,2011
Uts_16A_042,2,2012
Uts_16A_043,1,2011
Uts_16A_044,2,2012
Uts_16A_045,2,2011
Uts_16A_046,2,2012
Uts_16A_047,2,2011
Uts_16A_048,1,2011
Uts_16A_049,2,2012
Uts_16A_050,1,2010
Uts_16A_051,2,2012
Uts_16A_052,2,2012
Uts_16A_053,2,2011
Uts_16A_054,2,2012
Uts_16A_055,2,2012
Uts_16A_056,2,2010
Uts_16A_057,2,2010
Uts_16A_058,2,2012
Uts_16A_059,2,2012
Uts_16A_060,2,2012
Uts_16A_061,2,2012
Uts_16A_062,2,2012
Uts_16A_063,2,2012
Uts_16A_064,1,2010
Uts_16A_065,2,2012
Uts_16A_066,2,2011
Uts_16A_067,2,2011
Uts_16A_068,2,2012
Uts_16A_069,2,2011
