"","ID","sex","type","class.cor","year","BirthYear","scale.seaage","Scale.smoltage","InterpAge","Respawner","respawner.info","total.age","total.age.int","birthyear.int"
"138","Uts_13A_048","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"139","Uts_13A_049","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"140","Uts_13A_050","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"141","Uts_13A_051","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"142","Uts_13A_052","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"143","Uts_13A_053","M","Adult","Adult",2013,2007,3,NA,3,0,NA,NA,7,2006
"144","Uts_13A_054","M","Adult","Adult",2013,2006,3,4,3,1,NA,7,7,2006
"145","Uts_13A_055","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"146","Uts_13A_056","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"147","Uts_13A_057","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"148","Uts_13A_058","F","Adult","Adult",2013,2007,2,4,2,0,NA,6,6,2007
"149","Uts_13A_059","F","Adult","Adult",2013,2006,2,5,2,0,NA,7,7,2006
"150","Uts_13A_060","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"151","Uts_13A_061","M","Adult","Adult",2013,2007,3,4,3,1,10,7,7,2006
"152","Uts_13A_062","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"153","Uts_13A_063","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"154","Uts_13A_064","M","Adult","Adult",2013,2007,1,NA,1,0,NA,NA,5,2008
"155","Uts_13A_065","F","Adult","Adult",2013,2006,5,3,5,1,30,8,8,2005
"156","Uts_13A_066","F","Adult","Adult",2013,2007,2,4,2,0,NA,6,6,2007
"157","Uts_13A_067","M","Adult","Adult",2013,2008,1,4,1,0,NA,5,5,2008
"158","Uts_14A_001","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"159","Uts_14A_002","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"160","Uts_14A_003","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"161","Uts_14A_004","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"162","Uts_14A_005","M","Adult","Adult",2014,2008,1,NA,1,0,NA,NA,5,2009
"163","Uts_14A_006","M","Adult","Adult",2014,2008,1,5,1,0,NA,6,6,2008
"164","Uts_14A_007","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"165","Uts_14A_008","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"166","Uts_14A_009","M","Adult","Adult",2014,2008,1,5,1,0,NA,6,6,2008
"167","Uts_14A_010","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"168","Uts_14A_011","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"169","Uts_14A_012","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"170","Uts_14A_013","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"171","Uts_14A_014","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"172","Uts_14A_015","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"173","Uts_14A_016","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"174","Uts_14A_017","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"175","Uts_14A_018","F","Adult","Adult",2014,2008,NA,NA,2,0,NA,NA,6,2008
"176","Uts_14A_019","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"177","Uts_14A_020","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"178","Uts_14A_021","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"179","Uts_14A_022","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"180","Uts_14A_023","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"181","Uts_14A_024","F","Adult","Adult",2014,2007,3,4,3,0,NA,7,7,2007
"182","Uts_14A_025","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"183","Uts_14A_026","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"184","Uts_14A_027","M","Adult","Adult",2014,2008,3,3,3,0,NA,6,6,2008
"185","Uts_14A_028","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"186","Uts_14A_029","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"187","Uts_14A_030","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"188","Uts_14A_031","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"189","Uts_14A_032","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"190","Uts_14A_033","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"191","Uts_14A_034","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"192","Uts_14A_035","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"193","Uts_14A_036","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"194","Uts_14A_037","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"195","Uts_14A_038","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"196","Uts_14A_039","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"197","Uts_14A_040","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"198","Uts_14A_041","M","Adult","Adult",2014,2008,1,NA,1,0,NA,NA,5,2009
"199","Uts_14A_042","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"200","Uts_14A_043","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"201","Uts_14A_044","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"202","Uts_14A_045","M","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"203","Uts_14A_046","M","Adult","Adult",2014,2007,3,4,3,0,NA,7,7,2007
"204","Uts_14A_047","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"205","Uts_14A_048","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"206","Uts_14A_049","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"207","Uts_14A_050","F","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"208","Uts_14A_051","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"209","Uts_14A_052","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"210","Uts_14A_053","M","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"211","Uts_14A_054","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"212","Uts_14A_055","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"213","Uts_14A_056","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"214","Uts_14A_057","M","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"215","Uts_14A_058","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"216","Uts_14A_059","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"217","Uts_14A_060","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"218","Uts_14A_061","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"219","Uts_14A_062","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"220","Uts_14A_063","F","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"221","Uts_14A_064","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"222","Uts_14A_065","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"223","Uts_14A_066","F","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"224","Uts_14A_067","M","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"225","Uts_14A_068","M","Adult","Adult",2014,2008,3,3,3,0,NA,6,6,2008
"226","Uts_14A_069","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"227","Uts_14A_070","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"228","Uts_14A_071","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"229","Uts_14A_072","M","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"230","Uts_14A_073","M","Adult","Adult",2014,2009,3,3,3,1,10,6,6,2008
"231","Uts_14A_074","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"232","Uts_14A_075","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"233","Uts_14A_076","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"234","Uts_14A_077","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"235","Uts_14A_078","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"236","Uts_14A_079","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"237","Uts_14A_080","M","Adult","Adult",2014,2008,2,NA,2,0,NA,NA,6,2008
"238","Uts_14A_081","M","Adult","Adult",2014,2009,2,3,2,1,10,5,5,2009
"239","Uts_14A_082","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"240","Uts_14A_083","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"241","Uts_14A_084","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"242","Uts_14A_085","M","Adult","Adult",2014,2007,2,5,2,0,NA,7,7,2007
"243","Uts_14A_086","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"244","Uts_14A_087","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"245","Uts_14A_088","M","Adult","Adult",2014,2007,2,5,2,0,NA,7,7,2007
"246","Uts_14A_089","M","Adult","Adult",2014,2006,4,4,4,0,NA,8,8,2006
"247","Uts_14A_090","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"248","Uts_14A_091","M","Adult","Adult",2014,2006,4,4,4,0,NA,8,8,2006
"249","Uts_14A_092","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"250","Uts_14A_093","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"251","Uts_14A_094","M","Adult","Adult",2014,2009,1,4,1,0,NA,5,5,2009
"252","Uts_14A_095","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"253","Uts_14A_096","M","Adult","Adult",2014,2008,3,NA,3,0,NA,NA,7,2007
"254","Uts_14A_097","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"255","Uts_14A_098","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"256","Uts_14A_099","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"257","Uts_14A_100","F","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"258","Uts_14A_101","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"259","Uts_14A_102","M","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"260","Uts_14A_103","M","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"261","Uts_14A_104","M","Adult","Adult",2014,2008,2,NA,2,1,NA,NA,6,2008
"262","Uts_14A_105","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"263","Uts_14A_106","M","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"264","Uts_14A_107","F","Adult","Adult",2014,2009,2,3,2,0,NA,5,5,2009
"265","Uts_14A_108","F","Adult","Adult",2014,2008,2,4,2,0,NA,6,6,2008
"266","Uts_14A_109","M","Adult","Adult",2014,2007,4,4,4,1,20,8,8,2006
"267","Uts_14A_110","M","Adult","Adult",2014,2010,1,3,1,0,NA,4,4,2010
"268","Uts_15A_001","M","Adult","Adult",2015,2010,1,4,1,0,NA,5,5,2010
"269","Uts_15A_002","M","Adult","Adult",2015,2010,1,4,1,0,NA,5,5,2010
"270","Uts_15A_003","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"271","Uts_15A_004","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"272","Uts_15A_005","M","Adult","Adult",2015,2010,2,3,2,0,NA,5,5,2010
"273","Uts_15A_006","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"274","Uts_15A_007","M","Adult","Adult",2015,2010,1,4,1,0,NA,5,5,2010
"275","Uts_15A_008","M","Adult","Adult",2015,2010,3,3,3,1,10,6,6,2009
"276","Uts_15A_009","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"277","Uts_15A_010","F","Adult","Adult",2015,2009,2,4,2,0,NA,6,6,2009
"278","Uts_15A_011","F","Adult","Adult",2015,2008,3,4,3,0,NA,7,7,2008
"279","Uts_15A_012","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"280","Uts_15A_013","M","Adult","Adult",2015,2010,1,4,1,0,NA,5,5,2010
"281","Uts_15A_014","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"282","Uts_15A_015","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"283","Uts_15A_016","M","Adult","Adult",2015,2010,1,4,1,0,NA,5,5,2010
"284","Uts_15A_017","M","Adult","Adult",2015,2010,1,4,1,0,NA,5,5,2010
"285","Uts_15A_018","M","Adult","Adult",2015,2009,1,5,1,0,NA,6,6,2009
"286","Uts_15A_019","M","Adult","Adult",2015,2010,1,4,1,0,NA,5,5,2010
"287","Uts_15A_020","M","Adult","Adult",2015,2009,3,3,3,0,NA,6,6,2009
"288","Uts_15A_021","F","Adult","Adult",2015,2009,NA,NA,1,0,NA,NA,5,2010
"289","Uts_15A_022","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"290","Uts_15A_023","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"291","Uts_15A_024","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"292","Uts_15A_025","M","Adult","Adult",2015,2009,1,5,1,0,NA,6,6,2009
"293","Uts_15A_026","F","Adult","Adult",2015,2010,2,3,2,0,NA,5,5,2010
"294","Uts_15A_027","M","Adult","Adult",2015,2011,1,3,1,0,NA,4,4,2011
"295","Uts_15A_028","M","Adult","Adult",2015,2010,2,3,2,0,NA,5,5,2010
"296","Uts_15A_029","M","Adult","Adult",2015,2009,2,4,2,0,NA,6,6,2009
